participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.contribution,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.multiplier_group,group.endowment_group,group.number_group,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,twgd51bw,,0,0,33,,,,,,0,,,0,1,,1,1,0,1,,,,,,1,1,ilorzsvb,,,,,,1
2,i272k5x6,,0,0,33,,,,,,0,,,0,2,,1,1,0,1,,,,,,1,1,ilorzsvb,,,,,,1
1,twgd51bw,,0,0,33,,,,,,0,,,0,1,,2,2,0,1,,,,,,2,2,ilorzsvb,,,,,,1
2,i272k5x6,,0,0,33,,,,,,0,,,0,2,,2,2,0,1,,,,,,2,2,ilorzsvb,,,,,,1
1,twgd51bw,,0,0,33,,,,,,0,,,0,1,,3,3,0,1,,,,,,3,3,ilorzsvb,,,,,,1
2,i272k5x6,,0,0,33,,,,,,0,,,0,2,,3,3,0,1,,,,,,3,3,ilorzsvb,,,,,,1
1,twgd51bw,,0,0,33,,,,,,0,,,0,1,,4,4,0,1,,,,,,4,4,ilorzsvb,,,,,,1
2,i272k5x6,,0,0,33,,,,,,0,,,0,2,,4,4,0,1,,,,,,4,4,ilorzsvb,,,,,,1
1,twgd51bw,,0,0,33,,,,,,0,,,0,1,,5,5,0,1,,,,,,5,5,ilorzsvb,,,,,,1
2,i272k5x6,,0,0,33,,,,,,0,,,0,2,,5,5,0,1,,,,,,5,5,ilorzsvb,,,,,,1
1,twgd51bw,,0,0,33,,,,,,0,,,0,1,,6,6,0,1,,,,,,6,6,ilorzsvb,,,,,,1
2,i272k5x6,,0,0,33,,,,,,0,,,0,2,,6,6,0,1,,,,,,6,6,ilorzsvb,,,,,,1
1,twgd51bw,,0,0,33,,,,,,0,,,0,1,,7,7,0,1,,,,,,7,7,ilorzsvb,,,,,,1
2,i272k5x6,,0,0,33,,,,,,0,,,0,2,,7,7,0,1,,,,,,7,7,ilorzsvb,,,,,,1
1,twgd51bw,,0,0,33,,,,,,0,,,0,1,,8,8,0,1,,,,,,8,8,ilorzsvb,,,,,,1
2,i272k5x6,,0,0,33,,,,,,0,,,0,2,,8,8,0,1,,,,,,8,8,ilorzsvb,,,,,,1
1,7dnmu7ub,,0,0,33,,,,,,0,,,0,1,,9,9,0,1,,,,,,9,1,fvokbrg2,,,,,,1
2,ljse8elw,,0,0,33,,,,,,0,,,0,2,,9,9,0,1,,,,,,9,1,fvokbrg2,,,,,,1
1,7dnmu7ub,,0,0,33,,,,,,0,,,0,1,,10,10,0,1,,,,,,10,2,fvokbrg2,,,,,,1
2,ljse8elw,,0,0,33,,,,,,0,,,0,2,,10,10,0,1,,,,,,10,2,fvokbrg2,,,,,,1
1,7dnmu7ub,,0,0,33,,,,,,0,,,0,1,,11,11,0,1,,,,,,11,3,fvokbrg2,,,,,,1
2,ljse8elw,,0,0,33,,,,,,0,,,0,2,,11,11,0,1,,,,,,11,3,fvokbrg2,,,,,,1
